ProductID,Date,Zip,Units,Revenue,Country
1082,2012-06-28,R3E,1,225.6975,Canada
1082,2012-12-14,M6H,1,230.9475,Canada
1082,2013-05-03,L5T,1,230.9475,Canada
1082,2015-05-14,R3B,1,230.9475,Canada
1082,2015-06-30,T6J,1,230.9475,Canada
1085,2017-12-28,R3N,1,89.1975,Canada
1085,2017-12-28,R3X,1,89.1975,Canada
1085,2018-03-24,T6J,1,89.1975,Canada
1075,2013-07-20,R3B,1,254.5725,Canada
1086,2014-08-26,R3V,1,84,Canada
1086,2014-10-28,V6Z,2,178.395,Canada
1086,2014-11-01,T6K,1,89.1975,Canada
1086,2016-08-31,T6N,1,86.5725,Canada
1086,2016-10-29,R2V,1,86.5725,Canada
1086,2016-11-30,T2J,1,86.5725,Canada
1086,2016-12-28,M4V,1,86.5725,Canada
1086,2017-05-17,V7W,1,86.5725,Canada
1086,2017-05-31,M4P,1,86.5725,Canada
1085,2018-08-29,T5K,1,89.1975,Canada
1085,2016-12-29,T2J,1,86.5725,Canada
1085,2017-04-26,H1B,1,86.5725,Canada
1085,2017-11-14,K1R,1,89.1975,Canada
1085,2017-12-09,R3T,1,89.1975,Canada
1085,2017-12-13,L5V,1,89.1975,Canada
1081,2015-12-30,K2P,1,230.9475,Canada
1086,2018-08-29,T5K,1,89.1975,Canada
1086,2018-10-27,V7W,1,89.1975,Canada
1086,2015-12-29,L5P,1,83.9475,Canada
1086,2015-12-30,M4E,2,167.895,Canada
1086,2015-12-30,R3G,1,83.9475,Canada
1086,2016-01-28,T6K,1,83.9475,Canada
1086,2016-11-30,R3H,1,86.5725,Canada
1086,2016-12-16,V6E,1,86.5725,Canada
1086,2017-01-04,R3V,1,86.5725,Canada
1085,2015-05-02,R3M,1,84,Canada
1085,2015-05-02,T6N,1,89.1975,Canada
1085,2015-10-14,V6G,1,89.1975,Canada
1085,2015-11-24,L5P,1,83.9475,Canada
1085,2015-12-29,M5B,1,89.1975,Canada
1085,2015-12-29,V6L,2,178.395,Canada
1085,2015-12-30,R3H,1,83.9475,Canada
1085,2016-02-03,T2X,1,89.1975,Canada
1085,2016-03-31,T6R,1,83.9475,Canada
1085,2016-08-05,L5J,1,86.5725,Canada
1086,2017-08-03,L5H,1,86.5725,Canada
1086,2014-10-25,R2V,1,84,Canada
1086,2014-10-29,L5R,1,89.1975,Canada
1086,2014-11-25,L5R,1,84,Canada
1086,2014-11-25,T6E,1,84,Canada
1085,2014-12-20,M6S,1,84,Canada
1085,2014-12-26,M5R,1,89.1975,Canada
1085,2014-12-27,M5S,1,89.1975,Canada
1085,2015-02-03,R2L,1,89.1975,Canada
1085,2015-02-26,R2C,1,89.1975,Canada
1085,2015-07-22,T6J,1,89.1975,Canada
1085,2015-12-01,H1G,1,83.9475,Canada
1085,2015-12-23,T5V,1,83.9475,Canada
1085,2016-01-26,T6V,1,83.9475,Canada
1085,2016-01-27,V7W,1,83.9475,Canada
1085,2016-03-19,T6G,1,83.9475,Canada
1085,2017-12-27,R2L,1,89.1975,Canada
1086,2015-03-31,R3X,1,89.1975,Canada
1086,2017-12-21,V5V,1,86.5725,Canada
1086,2017-12-27,V5X,1,89.1975,Canada
1086,2018-04-21,R3X,1,89.1975,Canada
1086,2018-05-10,T2C,1,89.1975,Canada
1086,2018-08-07,R2G,1,89.1975,Canada
1085,2013-12-27,T2J,1,84,Canada
1085,2014-01-15,V6T,1,84,Canada
1081,2017-10-26,V5W,1,230.9475,Canada
1082,2011-03-15,T3G,1,225.6975,Canada
1082,2012-02-01,M4R,1,228.3225,Canada
1086,2018-11-30,T2S,1,89.1975,Canada
1086,2016-10-20,R2V,1,86.5725,Canada
1086,2016-11-29,T6G,1,86.5725,Canada
1086,2016-12-17,T2Y,1,86.5725,Canada
1086,2016-12-27,M4E,1,86.5725,Canada
1086,2017-04-26,H1B,1,86.5725,Canada
1086,2017-09-30,T2E,1,89.1975,Canada
1086,2017-10-17,L5N,1,89.1975,Canada
1076,2014-02-22,M4P,1,259.8225,Canada
1086,2017-12-28,V6S,1,89.1975,Canada
1086,2017-12-28,V6Z,1,89.1975,Canada
1086,2018-01-03,V5W,1,89.1975,Canada
1086,2016-03-19,T6G,1,83.9475,Canada
1086,2016-05-06,T6E,1,83.9475,Canada
1086,2017-11-03,M5R,1,89.1975,Canada
1086,2017-12-21,V7W,1,89.1975,Canada
1086,2017-12-28,L5P,1,89.1975,Canada
1086,2017-12-29,R3K,1,89.1975,Canada
1086,2017-12-29,V6N,1,89.1975,Canada
1086,2018-02-02,T1Y,1,89.1975,Canada
1086,2014-08-05,T6G,1,84,Canada
1086,2014-08-26,M5R,1,84,Canada
1085,2016-11-30,R3H,1,86.5725,Canada
1085,2016-12-16,V6E,1,86.5725,Canada
1085,2016-12-27,M4E,1,86.5725,Canada
1085,2017-01-04,R3V,1,86.5725,Canada
1086,2017-05-20,T6R,1,86.5725,Canada
1086,2016-12-07,R2C,1,86.5725,Canada
1086,2016-12-22,V6T,1,86.5725,Canada
1086,2016-12-29,V6B,1,86.5725,Canada
1085,2015-09-30,M5A,1,83.9475,Canada
1085,2015-11-19,L5N,1,83.9475,Canada
1082,2015-12-05,T6E,1,230.9475,Canada
1079,2011-01-15,V6B,1,262.4475,Canada
1081,2011-03-15,T3G,1,225.6975,Canada
1081,2012-02-01,M4R,1,228.3225,Canada
1075,2014-09-05,T5K,1,259.8225,Canada
1076,2011-11-15,R3T,1,254.5725,Canada
1076,2011-12-15,V6Z,1,254.5725,Canada
1076,2012-02-11,V5W,1,254.5725,Canada
1076,2012-05-22,R3S,1,254.5725,Canada
1076,2012-12-18,V6E,1,254.5725,Canada
1085,2016-11-29,R3H,1,86.5725,Canada
