ProductID,Date,Zip,Units,Revenue,Country
1085,2017-07-19,961-0917,1,86.572500,Japan
1085,2017-07-29,747-0004,1,86.572500,Japan
1085,2017-08-06,750-0052,1,86.572500,Japan
1085,2017-08-10,720-2106,2,173.145000,Japan
1085,2017-08-13,747-0044,1,86.572500,Japan
1085,2017-08-17,921-8033,1,86.572500,Japan
1085,2017-08-18,723-0015,1,86.572500,Japan
1085,2017-08-25,722-0044,1,86.572500,Japan
1085,2017-08-31,960-0614,1,86.572500,Japan
1085,2017-09-02,771-0121,1,86.572500,Japan
1085,2017-09-03,960-0753,1,86.572500,Japan
1085,2017-09-10,742-0337,1,86.572500,Japan
1081,2016-05-09,920-0931,1,230.947500,Japan
1081,2016-06-26,742-0006,1,230.947500,Japan
1081,2016-06-29,742-0009,1,230.947500,Japan
1081,2017-02-14,743-0075,1,236.197500,Japan
1081,2017-02-28,960-8211,2,472.395000,Japan
1081,2017-05-10,746-0062,1,236.197500,Japan
1081,2017-05-28,922-0054,1,236.197500,Japan
1081,2017-07-26,770-0046,1,236.197500,Japan
1081,2017-10-06,920-1342,1,230.947500,Japan
1081,2017-10-07,740-0313,1,236.197500,Japan
1081,2017-10-26,921-8061,1,236.197500,Japan
1081,2018-08-11,747-0004,1,230.947500,Japan
1081,2018-11-25,770-0844,1,230.947500,Japan
1082,2011-02-15,720-1525,1,225.697500,Japan
1082,2011-03-15,920-2373,1,228.322500,Japan
1082,2011-07-15,740-0721,1,225.697500,Japan
1082,2011-07-15,747-0032,1,225.697500,Japan
1082,2011-07-15,750-0028,1,225.697500,Japan
1082,2011-11-15,750-0053,1,228.322500,Japan
1082,2012-01-10,960-0688,1,228.322500,Japan
1082,2012-01-24,744-0272,1,225.697500,Japan
1082,2012-03-19,747-0831,1,230.947500,Japan
1082,2012-04-26,960-1108,1,228.322500,Japan
1082,2012-07-18,746-0063,1,225.697500,Japan
1082,2012-08-09,746-0027,1,228.322500,Japan
1082,2012-08-18,722-1732,2,456.645000,Japan
1082,2012-09-30,750-0026,1,228.322500,Japan
1082,2012-10-28,961-0816,1,228.322500,Japan
1082,2012-11-15,961-0922,1,230.947500,Japan
1082,2013-01-08,960-0407,1,230.947500,Japan
1082,2013-01-12,920-0911,1,230.947500,Japan
1082,2013-05-13,740-1215,2,461.895000,Japan
1082,2013-06-30,771-0218,1,230.947500,Japan
1082,2013-07-17,960-0411,1,230.947500,Japan
1082,2013-07-23,779-3201,1,230.947500,Japan
1082,2013-09-04,740-1404,1,230.947500,Japan
1082,2013-10-06,720-0014,1,230.947500,Japan
1082,2013-11-21,722-0235,1,230.947500,Japan
1082,2013-12-26,960-0461,1,230.947500,Japan
1082,2014-02-07,770-0863,1,225.697500,Japan
1082,2014-05-15,961-0054,1,230.947500,Japan
1082,2014-06-05,961-0047,1,230.947500,Japan
1082,2014-06-26,960-8225,1,230.947500,Japan
1082,2014-07-25,746-0054,1,230.947500,Japan
1082,2014-11-08,960-0436,1,230.947500,Japan
1082,2014-11-19,922-0028,1,230.947500,Japan
1082,2014-12-30,745-0641,1,230.947500,Japan
1082,2015-01-23,720-1704,1,228.322500,Japan
1082,2015-03-01,921-8172,1,230.947500,Japan
1082,2015-06-30,961-0931,1,230.947500,Japan
1082,2015-07-21,747-0342,1,230.947500,Japan
1082,2015-07-28,745-0042,1,230.947500,Japan
1082,2015-09-02,744-0276,1,230.947500,Japan
1082,2015-11-13,747-0105,1,230.947500,Japan
1082,2016-01-11,722-1623,1,230.947500,Japan
1082,2016-01-11,779-1105,1,236.197500,Japan
1082,2016-11-25,741-0093,1,236.197500,Japan
1082,2016-12-07,747-0052,1,230.947500,Japan
1082,2017-02-14,743-0075,1,236.197500,Japan
1082,2017-02-28,960-8211,2,472.395000,Japan
1082,2017-05-09,920-0965,1,236.197500,Japan
1082,2017-05-10,746-0062,1,236.197500,Japan
1082,2017-05-28,921-8043,1,230.947500,Japan
1082,2017-08-23,961-0902,1,236.197500,Japan
1082,2017-09-03,742-0035,1,236.197500,Japan
1082,2017-09-06,960-1472,1,230.947500,Japan
1082,2017-10-26,921-8061,1,236.197500,Japan
1085,2017-08-02,960-8204,1,86.572500,Japan
1085,2017-08-06,720-1523,1,86.572500,Japan
1085,2017-08-06,722-2417,1,86.572500,Japan
1085,2017-08-10,960-0756,1,86.572500,Japan
1085,2017-08-13,770-0048,1,86.572500,Japan
1085,2017-08-18,747-0342,1,86.572500,Japan
1085,2017-08-23,770-0823,1,86.572500,Japan
1085,2017-08-31,770-0052,1,86.572500,Japan
1085,2017-09-14,960-8235,1,86.572500,Japan
1085,2017-09-20,961-0011,1,86.572500,Japan
1085,2017-10-12,745-0802,1,86.572500,Japan
1085,2017-10-28,920-1322,1,89.197500,Japan
1085,2017-11-05,721-0973,1,86.572500,Japan
1085,2017-11-18,922-0052,1,89.197500,Japan
1085,2017-11-30,960-0753,1,89.197500,Japan
1085,2017-12-06,960-0781,1,89.197500,Japan
1085,2017-12-19,960-0614,1,89.197500,Japan
1085,2017-12-22,961-0921,1,89.197500,Japan
1085,2017-12-26,770-0005,1,86.572500,Japan
1085,2017-12-27,920-0356,1,89.197500,Japan
1085,2018-01-02,770-0034,1,89.197500,Japan
1085,2018-01-12,774-0023,1,89.197500,Japan
1085,2018-01-30,726-0003,1,89.197500,Japan
1085,2018-01-30,745-0887,1,89.197500,Japan
1085,2018-02-14,746-0041,1,89.197500,Japan
1085,2018-02-14,920-2371,1,89.197500,Japan
1085,2018-02-20,722-1113,1,86.572500,Japan
1085,2018-02-20,771-0113,1,89.197500,Japan
1085,2018-02-21,722-0231,1,89.197500,Japan
1085,2018-02-27,920-0831,1,89.197500,Japan
1085,2018-03-06,747-0831,1,89.197500,Japan
