ProductID,Date,Zip,Units,Revenue,Country
2136,2018-05-12,101001,1,419.95,Nigeria
2055,2013-05-04,101001,1,569.57,Nigeria
2055,2014-05-17,101001,1,569.57,Nigeria
2055,2014-06-05,101001,1,569.57,Nigeria
2055,2014-10-29,101001,1,569.57,Nigeria
2090,2017-09-26,101001,1,367.45,Nigeria
2055,2015-06-16,101001,1,577.45,Nigeria
2055,2015-07-31,101001,1,577.45,Nigeria
2055,2015-10-30,101001,1,569.57,Nigeria
2055,2016-03-23,101001,1,569.57,Nigeria
2055,2016-03-26,101001,1,569.57,Nigeria
2055,2016-04-09,101001,1,569.57,Nigeria
2090,2017-09-28,101001,1,356.95,Nigeria
2055,2016-05-13,101001,1,569.57,Nigeria
2055,2016-06-29,101001,1,577.45,Nigeria
2055,2015-04-30,101001,1,569.57,Nigeria
2055,2015-05-12,101001,1,569.57,Nigeria
1963,2017-07-30,101001,1,149.57,Nigeria
1964,2015-06-09,101001,1,89.2,Nigeria
1964,2015-06-09,101001,1,89.2,Nigeria
1964,2015-07-14,101001,1,89.2,Nigeria
1964,2015-08-18,101001,1,89.2,Nigeria
1964,2015-10-30,101001,1,89.2,Nigeria
1964,2016-02-28,101001,1,89.2,Nigeria
2090,2018-03-13,101001,1,356.95,Nigeria
2090,2018-03-28,101001,1,356.95,Nigeria
2090,2018-04-18,101001,1,351.7,Nigeria
2090,2018-04-19,101001,1,351.7,Nigeria
2090,2018-06-01,101001,1,351.7,Nigeria
2219,2016-05-17,101001,1,141.7,Nigeria
2219,2016-09-21,101001,1,141.7,Nigeria
2064,2015-06-10,101001,1,496.07,Nigeria
2064,2015-06-27,101001,1,496.07,Nigeria
2064,2015-06-30,101001,1,496.07,Nigeria
2064,2015-08-19,101001,1,496.07,Nigeria
2064,2016-02-28,101001,1,496.07,Nigeria
2064,2016-08-13,101001,1,498.7,Nigeria
2055,2018-02-22,101001,1,582.7,Nigeria
2055,2018-03-20,101001,1,593.2,Nigeria
2055,2018-03-29,101001,1,593.2,Nigeria
2055,2018-04-27,101001,1,582.7,Nigeria
2055,2018-05-31,101001,1,582.7,Nigeria
2055,2018-06-12,101001,1,593.2,Nigeria
2055,2018-08-10,101001,1,582.7,Nigeria
2055,2018-08-17,101001,1,593.2,Nigeria
2055,2018-10-04,101001,1,582.7,Nigeria
2055,2018-10-19,101001,1,582.7,Nigeria
2055,2018-12-31,101001,1,582.7,Nigeria
2238,2017-07-05,101001,1,125.95,Nigeria
2238,2017-07-29,101001,1,125.95,Nigeria
2238,2018-12-27,101001,1,131.2,Nigeria
1934,2018-06-29,101001,1,131.2,Nigeria
1935,2014-07-26,101001,1,136.45,Nigeria
1935,2014-07-30,101001,1,136.45,Nigeria
1935,2015-03-28,101001,1,136.45,Nigeria
1935,2015-04-28,101001,1,136.45,Nigeria
2083,2011-02-15,101001,1,309.7,Nigeria
2180,2017-03-15,101001,1,414.7,Nigeria
2235,2011-09-15,101001,1,65.57,Nigeria
2235,2011-11-15,101001,1,65.57,Nigeria
2250,2012-08-21,101001,1,120.7,Nigeria
2250,2013-05-03,101001,1,125.95,Nigeria
2250,2013-07-23,101001,1,125.95,Nigeria
2250,2013-07-25,101001,1,125.95,Nigeria
2223,2017-04-27,101001,1,230.95,Nigeria
2223,2017-05-30,101001,1,230.95,Nigeria
2223,2017-06-08,101001,1,230.95,Nigeria
2235,2012-12-15,101001,1,70.82,Nigeria
2226,2013-03-06,101001,1,325.45,Nigeria
2226,2013-05-14,101001,1,325.45,Nigeria
2214,2017-09-19,101001,1,356.95,Nigeria
2214,2018-07-10,101001,1,356.95,Nigeria
2214,2018-08-21,101001,1,346.45,Nigeria
2215,2016-04-26,101001,1,335.95,Nigeria
2215,2016-04-30,101001,1,335.95,Nigeria
2215,2016-05-11,101001,1,335.95,Nigeria
2250,2014-01-03,101001,1,125.95,Nigeria
2056,2014-11-25,101001,1,330.7,Nigeria
2056,2015-03-14,101001,1,330.7,Nigeria
2056,2015-03-28,101001,1,330.7,Nigeria
2056,2015-06-30,101001,1,333.32,Nigeria
2056,2015-06-30,101001,1,333.32,Nigeria
2056,2015-07-31,101001,1,330.7,Nigeria
2056,2015-07-31,101001,1,330.7,Nigeria
2056,2015-09-29,101001,1,333.32,Nigeria
2056,2015-09-30,101001,1,333.32,Nigeria
2056,2016-06-02,101001,1,330.7,Nigeria
2056,2017-05-27,101001,1,330.7,Nigeria
2204,2014-11-06,101001,1,157.45,Nigeria
2056,2014-05-16,101001,1,330.7,Nigeria
2056,2014-06-21,101001,1,330.7,Nigeria
2056,2014-07-05,101001,1,333.32,Nigeria
2056,2015-04-30,101001,1,330.7,Nigeria
2056,2015-07-01,101001,1,330.7,Nigeria
1935,2015-07-30,101001,1,136.45,Nigeria
2064,2015-05-21,101001,1,496.07,Nigeria
2064,2015-07-31,101001,1,496.07,Nigeria
2212,2015-03-31,101001,1,89.2,Nigeria
2218,2015-04-28,101001,1,141.7,Nigeria
2218,2015-07-17,101001,2,283.4,Nigeria
2218,2015-08-26,101001,1,141.7,Nigeria
2218,2015-10-14,101001,1,141.7,Nigeria
2081,2016-03-31,101001,1,225.7,Nigeria
2081,2016-04-01,101001,1,225.7,Nigeria
2081,2016-08-12,101001,1,225.7,Nigeria
2083,2012-04-25,101001,1,312.32,Nigeria
2083,2012-05-25,101001,1,312.32,Nigeria
2083,2013-05-15,101001,1,317.57,Nigeria
2045,2016-08-12,101001,1,419.95,Nigeria
2045,2016-08-31,101001,1,419.95,Nigeria
2204,2015-02-27,101001,1,146.95,Nigeria
2204,2015-04-28,101001,1,146.95,Nigeria
2204,2015-04-30,101001,1,146.95,Nigeria
2204,2016-04-30,101001,2,293.9,Nigeria
2204,2016-05-07,101001,1,146.95,Nigeria
2204,2016-06-27,101001,1,146.95,Nigeria
2204,2016-08-24,101001,1,146.95,Nigeria
2225,2017-09-19,101001,1,60.32,Nigeria
2084,2018-09-12,101001,1,661.45,Nigeria
2234,2011-08-15,101001,1,65.57,Nigeria
2224,2018-10-08,101001,1,60.32,Nigeria
1975,2015-03-07,101001,1,57.7,Nigeria
1975,2015-04-30,101001,2,115.4,Nigeria
1975,2015-07-01,101001,1,57.7,Nigeria
1975,2016-06-28,101001,1,57.7,Nigeria
1975,2016-06-30,101001,1,57.7,Nigeria
1975,2017-09-22,101001,1,57.7,Nigeria
2212,2017-10-04,101001,1,89.2,Nigeria
2212,2017-11-11,101001,1,89.2,Nigeria
2218,2015-07-11,101001,1,141.7,Nigeria
2218,2016-04-30,101001,1,141.7,Nigeria
2204,2017-07-07,101001,1,146.95,Nigeria
1990,2012-12-28,101001,3,774.22,Nigeria
1990,2013-04-13,101001,1,262.45,Nigeria
1990,2013-04-25,101001,1,262.45,Nigeria
1990,2013-05-09,101001,1,262.45,Nigeria
1990,2013-05-23,101001,1,262.45,Nigeria
1990,2013-06-19,101001,1,262.45,Nigeria
1990,2015-04-23,101001,1,262.45,Nigeria
1990,2015-06-03,101001,2,524.9,Nigeria
2225,2018-01-12,101001,1,60.32,Nigeria
2055,2017-08-03,101001,1,572.2,Nigeria
2091,2014-05-23,101001,1,157.45,Nigeria
1939,2018-09-11,101001,1,293.95,Nigeria
194,2013-08-02,101001,1,787.5,Nigeria
1940,2016-03-23,101001,1,162.7,Nigeria
1940,2016-03-24,101001,1,162.7,Nigeria
1940,2016-04-30,101001,1,162.7,Nigeria
1940,2016-06-16,101001,1,162.7,Nigeria
1941,2015-12-22,101001,1,162.7,Nigeria
1941,2016-03-31,101001,1,162.7,Nigeria
1941,2016-04-26,101001,1,162.7,Nigeria
1942,2014-06-29,101001,1,125.95,Nigeria
1640,2018-04-17,101001,1,398.9,Nigeria
2055,2017-09-30,101001,1,572.2,Nigeria
2064,2017-02-25,101001,1,506.57,Nigeria
2064,2017-02-28,101001,1,506.57,Nigeria
2064,2017-08-15,101001,1,506.57,Nigeria
2064,2018-03-22,101001,1,524.95,Nigeria
2192,2011-07-15,101001,1,202.07,Nigeria
2153,2014-05-16,101001,1,603.7,Nigeria
2153,2014-09-30,101001,1,577.45,Nigeria
2157,2016-02-10,101001,1,456.7,Nigeria
2064,2018-04-12,101001,1,524.95,Nigeria
2064,2018-04-26,101001,1,524.95,Nigeria
2064,2018-04-26,101001,1,524.95,Nigeria
2199,2012-05-08,101001,1,181.07,Nigeria
2199,2012-07-26,101001,1,181.07,Nigeria
2199,2013-07-10,101001,1,188.95,Nigeria
